"Lineup","On_court_time","Possessions","Pts","Pts_against","Tnovers","FG_made","FG_att","Three_made","Three_att","Rebounds","Defensive_plays"
"c(""Andrew Rohde"", ""Blake Buchanan"", ""Dante Harris"", ""Reece Beekman"", ""Ryan Dunn"")",0,1,0,0,0,0,0,0,0,0,0
"Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jake Groves",726,39,26,31,2,10,17,8,12,7,4
"Isaac McKneely,Reece Beekman,Andrew Rohde,Blake Buchanan,Leon Bond III",86,3,1,0,0,0,3,0,2,4,0
"Isaac McKneely,Andrew Rohde,Blake Buchanan,Leon Bond III,Dante Harris",129,6,3,2,1,1,1,0,0,2,0
"Blake Buchanan,Leon Bond III,Dante Harris,Reece Beekman,Taine Murray",110,5,5,0,0,2,3,0,0,2,1
"Blake Buchanan,Dante Harris,Reece Beekman,Taine Murray,Ryan Dunn",81,1,0,0,0,0,0,0,0,1,0
"Blake Buchanan,Dante Harris,Reece Beekman,Ryan Dunn,Isaac McKneely",34,2,0,0,1,0,0,0,0,0,1
"Reece Beekman,Ryan Dunn,Isaac McKneely,Andrew Rohde,Jake Groves",40,3,0,0,0,0,1,0,0,0,1
"Ryan Dunn,Isaac McKneely,Andrew Rohde,Jake Groves,Dante Harris",93,4,2,0,0,1,2,0,1,1,1
"Isaac McKneely,Andrew Rohde,Jake Groves,Dante Harris,Blake Buchanan",28,1,1,3,0,0,0,0,0,0,0
"Isaac McKneely,Andrew Rohde,Jake Groves,Blake Buchanan,Reece Beekman",103,6,4,1,0,1,2,1,1,2,0
"Isaac McKneely,Andrew Rohde,Reece Beekman,Jordan Minor,Leon Bond III",77,3,3,2,1,1,1,0,0,0,0
"Isaac McKneely,Reece Beekman,Jordan Minor,Leon Bond III,Dante Harris",157,9,6,2,0,1,2,0,0,3,3
"Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Blake Buchanan",493,27,14,7,2,5,8,0,0,7,5
"Isaac McKneely,Reece Beekman,Ryan Dunn,Blake Buchanan,Dante Harris",66,4,1,2,0,0,0,0,0,0,1
"Isaac McKneely,Reece Beekman,Ryan Dunn,Dante Harris,Leon Bond III",12,1,2,0,0,1,1,0,0,0,0
"Isaac McKneely,Ryan Dunn,Dante Harris,Leon Bond III,Andrew Rohde",121,8,0,7,1,0,3,0,2,2,1
"Dante Harris,Leon Bond III,Andrew Rohde,Reece Beekman,Jake Groves",196,12,6,11,0,3,5,3,5,3,2
"Leon Bond III,Andrew Rohde,Reece Beekman,Taine Murray,Jordan Minor",84,5,2,0,0,1,3,0,2,4,0
"Leon Bond III,Taine Murray,Jordan Minor,Dante Harris,Isaac McKneely",28,3,0,0,1,0,0,0,0,1,1
"Taine Murray,Jordan Minor,Dante Harris,Isaac McKneely,Ryan Dunn",152,8,3,4,1,1,2,0,0,2,1
"Taine Murray,Jordan Minor,Dante Harris,Ryan Dunn,Blake Buchanan",66,5,3,4,0,0,0,0,0,2,1
"Taine Murray,Jordan Minor,Dante Harris,Blake Buchanan,Tristan How",136,10,6,1,0,1,3,0,0,4,1
"Isaac McKneely,Dante Harris,Andrew Rohde,Ryan Dunn,Blake Buchanan",184,9,9,0,1,4,5,1,1,4,1
"Isaac McKneely,Dante Harris,Reece Beekman,Leon Bond III,Blake Buchanan",130,5,2,3,0,1,2,0,0,3,1
"Andrew Rohde,Dante Harris,Reece Beekman,Leon Bond III,Blake Buchanan",112,6,2,4,1,1,3,0,0,1,1
"Andrew Rohde,Ryan Dunn,Reece Beekman,Isaac McKeenly,Jacob Groves",236,13,9,7,0,4,7,1,4,4,1
"Andrew Rohde,Ryan Dunn,Blake Buchanan,Isaac McKeenly,Dante Harris",231,12,10,7,0,5,7,0,0,3,1
"Andrew Rohde,Ryan Dunn,Blake Buchanan,Isaac McKeenly,Reece Beekman",213,12,5,4,0,2,6,0,2,2,3
"Andrew Rohde,Jacob Groves,Blake Buchanan,Isaac McKeenly,Reece Beekman",105,5,7,2,0,2,2,2,2,2,0
"Andrew Rohde,Jacob Groves,Dante Harris,Ryan Dunn,Reece Beekman",164,9,3,5,0,1,4,0,1,0,2
"Blake Buchanan,Isaac McKeenly,Dante Harris,Ryan Dunn,Reece Beekman",124,5,0,2,0,0,2,0,1,2,1
"Blake Buchanan,Isaac McKeenly,Dante Harris,Ryan Dunn,Andrew Rohde",49,3,0,0,0,0,1,0,0,1,0
"Blake Buchanan,Isaac McKeenly,Reece Beekman,Jacob Groves,Andrew Rohde",86,4,1,8,1,0,1,0,0,1,0
"Blake Buchanan,Isaac McKeenly,Reece Beekman,Ryan Dunn,Andrew Rohde",367,30,18,14,1,4,7,1,3,5,5
"Jacob Groves,Isaac McKeenly,Reece Beekman,Ryan Dunn,Andrew Rohde",84,2,0,0,0,0,1,0,1,1,0
"Blake Buchanan,Isaac McKeenly,Reece Beekman,Ryan Dunn,Dante Harris",8,0,0,0,0,0,0,0,0,0,0
"Isaac McKneely,Dante Harris,Andrew Rohde,Ryan Dunn,Jacob Groves",150,8,8,2,1,3,5,2,2,5,1
"Reece Beekman,Dante Harris,Taine Murray,Leon Bond III,Jacob Groves",223,10,10,3,0,4,5,2,2,4,1
"Reece Beekman,Dante Harris,Taine Murray,Leon Bond III,Jordan Minor",58,3,0,1,0,0,1,0,1,1,0
"Reece Beekman,Isaac McKneely,Taine Murray,Ryan Dunn,Jordan Minor",68,3,2,0,1,1,2,0,1,2,0
"Reece Beekman,Isaac McKneely,Andrew Rohde,Ryan Dunn,Jordan Minor",66,5,3,2,0,1,2,0,0,1,1
"Dante Harris,Isaac McKneely,Andrew Rohde,Ryan Dunn,Blake Buchanan",80,4,4,0,0,1,1,1,1,2,0
"Dante Harris,Isaac McKneely,Andrew Rohde,Leon Bond III,Blake Buchanan",54,2,1,3,0,0,0,0,0,0,0
"Dante Harris,Isaac McKneely,Jacob Groves,Leon Bond III,Blake Buchanan",90,7,7,3,0,3,4,1,1,1,1
"Dante Harris,Isaac McKneely,Jacob Groves,Leon Bond III,Jordan Minor",44,1,0,1,0,0,0,0,0,0,0
"Dante Harris,Taine Murray,Jacob Groves,Leon Bond III,Jordan Minor",47,3,4,0,0,1,1,0,0,1,2
"Dante Harris,Reece Beekman,Ryan Dunn,Andrew Rohde,Blake Buchanan",245,14,8,9,0,4,8,0,2,3,5
"Dante Harris,Reece Beekman,Leon Bond III,Taine Murray,Blake Buchanan",25,3,0,0,0,0,1,0,0,0,2
"Dante Harris,Andrew Rohde,Leon Bond III,Taine Murray,Blake Buchanan",97,3,0,2,1,0,1,0,0,1,0
"Reece Beekman,Andrew Rohde,Leon Bond III,Taine Murray,Jacob Groves",126,8,6,7,0,3,5,0,0,3,0
"Reece Beekman,Andrew Rohde,Ryan Dunn,Taine Murray,Jacob Groves",125,6,3,1,0,1,3,0,1,3,0
"Dante Harris,Andrew Rohde,Ryan Dunn,Taine Murray,Jacob Groves",134,6,4,0,1,2,2,0,0,3,2
"Dante Harris,Jordan Minor,Ryan Dunn,Taine Murray,Jacob Groves",89,2,0,0,1,0,0,0,0,1,0
"Dante Harris,Jordan Minor,Leon Bond III,Taine Murray,Jacob Groves",169,12,6,6,3,2,4,0,0,5,2
"Bryce Walker,Jordan Minor,Leon Bond III,Taine Murray,Jacob Groves",45,0,0,0,0,0,0,0,0,0,0
"Bryce Walker,Jordan Minor,Leon Bond III,Taine Murray,Tristan How",145,10,4,7,0,1,3,0,1,1,3
